3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
96899 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
97032 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
97135 !20 [ nphistory  37]	undo: ['load'] redo: []
97136 !20 [   npyshop 627]	(2643, 1714, 3)
97136 !20 [   npyshop 628]	3
97213 !20 [   npyshop 653]	ofset [0, 0]
97667 !20 [   npyshop 176]	open
97667 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
97983 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
98087 !20 [ nphistory  37]	undo: ['load'] redo: []
98088 !20 [   npyshop 627]	(2643, 1714, 3)
98088 !20 [   npyshop 628]	3
98214 !20 [   npyshop 653]	ofset [0, 0]
98930 !20 [   npyshop 176]	open
98931 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
99093 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
99195 !20 [ nphistory  37]	undo: ['load'] redo: []
99196 !20 [   npyshop 627]	(2643, 1714, 3)
99196 !20 [   npyshop 628]	3
99272 !20 [   npyshop 653]	ofset [0, 0]
111235 !20 [   npyshop 176]	open
111235 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
111552 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
111654 !20 [ nphistory  37]	undo: ['load'] redo: []
111655 !20 [   npyshop 627]	(2643, 1714, 3)
111655 !20 [   npyshop 628]	3
111780 !20 [   npyshop 653]	ofset [0, 0]
113058 !20 [   npyshop 176]	open
113059 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
113191 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
113293 !20 [ nphistory  37]	undo: ['load'] redo: []
113294 !20 [   npyshop 627]	(2643, 1714, 3)
113294 !20 [   npyshop 628]	3
113368 !20 [   npyshop 653]	ofset [0, 0]
113971 !20 [   npyshop 176]	open
113971 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
114121 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
114225 !20 [ nphistory  37]	undo: ['load'] redo: []
114226 !20 [   npyshop 627]	(2643, 1714, 3)
114226 !20 [   npyshop 628]	3
114302 !20 [   npyshop 653]	ofset [0, 0]
115298 !20 [   npyshop 176]	open
115298 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
115567 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
115672 !20 [ nphistory  37]	undo: ['load'] redo: []
115673 !20 [   npyshop 627]	(2643, 1714, 3)
115673 !20 [   npyshop 628]	3
115765 !20 [   npyshop 653]	ofset [0, 0]
116530 !20 [   npyshop 176]	open
116530 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
116889 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
116994 !20 [ nphistory  37]	undo: ['load'] redo: []
116995 !20 [   npyshop 627]	(2643, 1714, 3)
116995 !20 [   npyshop 628]	3
117097 !20 [   npyshop 653]	ofset [0, 0]
117794 !20 [   npyshop 176]	open
117795 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
118334 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
118440 !20 [ nphistory  37]	undo: ['load'] redo: []
118440 !20 [   npyshop 627]	(2643, 1714, 3)
118440 !20 [   npyshop 628]	3
118589 !20 [   npyshop 653]	ofset [0, 0]
119219 !20 [   npyshop 176]	open
119219 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
119587 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
119691 !20 [ nphistory  37]	undo: ['load'] redo: []
119692 !20 [   npyshop 627]	(2643, 1714, 3)
119692 !20 [   npyshop 628]	3
119794 !20 [   npyshop 653]	ofset [0, 0]
126530 !20 [   npyshop 176]	open
126531 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
127074 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
127178 !20 [ nphistory  37]	undo: ['load'] redo: []
127179 !20 [   npyshop 627]	(2643, 1714, 3)
127179 !20 [   npyshop 628]	3
127328 !20 [   npyshop 653]	ofset [0, 0]
133826 !20 [   npyshop 176]	open
133826 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
134059 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
134164 !20 [ nphistory  37]	undo: ['load'] redo: []
