3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
369795 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
369897 !20 [ nphistory  37]	undo: ['load'] redo: []
369898 !20 [   npyshop 627]	(2643, 1714, 3)
369898 !20 [   npyshop 628]	3
369975 !20 [   npyshop 653]	ofset [0, 0]
370371 !20 [   npyshop 176]	open
370371 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
370634 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
370736 !20 [ nphistory  37]	undo: ['load'] redo: []
370737 !20 [   npyshop 627]	(2643, 1714, 3)
370737 !20 [   npyshop 628]	3
370829 !20 [   npyshop 653]	ofset [0, 0]
371363 !20 [   npyshop 176]	open
371363 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
371732 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
371834 !20 [ nphistory  37]	undo: ['load'] redo: []
371834 !20 [   npyshop 627]	(2643, 1714, 3)
371834 !20 [   npyshop 628]	3
371937 !20 [   npyshop 653]	ofset [0, 0]
372146 !20 [   npyshop 176]	open
372147 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
372687 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
372788 !20 [ nphistory  37]	undo: ['load'] redo: []
372789 !20 [   npyshop 627]	(2643, 1714, 3)
372789 !20 [   npyshop 628]	3
372937 !20 [   npyshop 653]	ofset [0, 0]
373154 !20 [   npyshop 176]	open
373155 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
373533 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
373641 !20 [ nphistory  37]	undo: ['load'] redo: []
373642 !20 [   npyshop 627]	(2643, 1714, 3)
373642 !20 [   npyshop 628]	3
373745 !20 [   npyshop 653]	ofset [0, 0]
373754 !20 [   npyshop 176]	open
373754 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
374016 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
374122 !20 [ nphistory  37]	undo: ['load'] redo: []
374123 !20 [   npyshop 627]	(2643, 1714, 3)
374123 !20 [   npyshop 628]	3
374214 !20 [   npyshop 653]	ofset [0, 0]
374578 !20 [   npyshop 176]	open
374578 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
374723 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
374826 !20 [ nphistory  37]	undo: ['load'] redo: []
374828 !20 [   npyshop 627]	(2643, 1714, 3)
374828 !20 [   npyshop 628]	3
374904 !20 [   npyshop 653]	ofset [0, 0]
375810 !20 [   npyshop 176]	open
375811 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
376077 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
376181 !20 [ nphistory  37]	undo: ['load'] redo: []
376182 !20 [   npyshop 627]	(2643, 1714, 3)
376182 !20 [   npyshop 628]	3
376275 !20 [   npyshop 653]	ofset [0, 0]
377443 !20 [   npyshop 176]	open
377443 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
377591 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
377693 !20 [ nphistory  37]	undo: ['load'] redo: []
377693 !20 [   npyshop 627]	(2643, 1714, 3)
377693 !20 [   npyshop 628]	3
377769 !20 [   npyshop 653]	ofset [0, 0]
378418 !20 [   npyshop 176]	open
378419 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
378550 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
378653 !20 [ nphistory  37]	undo: ['load'] redo: []
378654 !20 [   npyshop 627]	(2643, 1714, 3)
378654 !20 [   npyshop 628]	3
378728 !20 [   npyshop 653]	ofset [0, 0]
379187 !20 [   npyshop 176]	open
379187 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
379503 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
379622 !20 [ nphistory  37]	undo: ['load'] redo: []
379623 !20 [   npyshop 627]	(2643, 1714, 3)
379623 !20 [   npyshop 628]	3
379748 !20 [   npyshop 653]	ofset [0, 0]
381522 !20 [   npyshop 176]	open
381522 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
381654 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
381754 !20 [ nphistory  37]	undo: ['load'] redo: []
381755 !20 [   npyshop 627]	(2643, 1714, 3)
381755 !20 [   npyshop 628]	3
381830 !20 [   npyshop 653]	ofset [0, 0]
382259 !20 [   npyshop 176]	open
382259 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
382406 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
382511 !20 [ nphistory  37]	undo: ['load'] redo: []
382511 !20 [   npyshop 627]	(2643, 1714, 3)
382511 !20 [   npyshop 628]	3
382587 !20 [   npyshop 653]	ofset [0, 0]
382595 !20 [   npyshop 176]	open
382595 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
382862 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
382964 !20 [ nphistory  37]	undo: ['load'] redo: []
382965 !20 [   npyshop 627]	(2643, 1714, 3)
382965 !20 [   npyshop 628]	3
383058 !20 [   npyshop 653]	ofset [0, 0]
383066 !20 [   npyshop 176]	open
383066 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
383425 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
383533 !20 [ nphistory  37]	undo: ['load'] redo: []
383534 !20 [   npyshop 627]	(2643, 1714, 3)
383534 !20 [   npyshop 628]	3
383637 !20 [   npyshop 653]	ofset [0, 0]
383645 !20 [   npyshop 176]	open
383645 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
384183 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
384287 !20 [ nphistory  37]	undo: ['load'] redo: []
384287 !20 [   npyshop 627]	(2643, 1714, 3)
384287 !20 [   npyshop 628]	3
384438 !20 [   npyshop 653]	ofset [0, 0]
384446 !20 [   npyshop 176]	open
384446 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
384677 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
384782 !20 [ nphistory  37]	undo: ['load'] redo: []
384783 !20 [   npyshop 627]	(2643, 1714, 3)
384783 !20 [   npyshop 628]	3
384868 !20 [   npyshop 653]	ofset [0, 0]
384876 !20 [   npyshop 176]	open
384877 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
385022 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
385126 !20 [ nphistory  37]	undo: ['load'] redo: []
385127 !20 [   npyshop 627]	(2643, 1714, 3)
385127 !20 [   npyshop 628]	3
385204 !20 [   npyshop 653]	ofset [0, 0]
385212 !20 [   npyshop 176]	open
385212 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
385476 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
385583 !20 [ nphistory  37]	undo: ['load'] redo: []
385584 !20 [   npyshop 627]	(2643, 1714, 3)
385584 !20 [   npyshop 628]	3
385675 !20 [   npyshop 653]	ofset [0, 0]
385683 !20 [   npyshop 176]	open
385683 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
385831 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
385933 !20 [ nphistory  37]	undo: ['load'] redo: []
385933 !20 [   npyshop 627]	(2643, 1714, 3)
385933 !20 [   npyshop 628]	3
386009 !20 [   npyshop 653]	ofset [0, 0]
390595 !20 [   npyshop 176]	open
390595 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
390867 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
390971 !20 [ nphistory  37]	undo: ['load'] redo: []
390972 !20 [   npyshop 627]	(2643, 1714, 3)
390972 !20 [   npyshop 628]	3
391063 !20 [   npyshop 653]	ofset [0, 0]
391070 !20 [   npyshop 176]	open
391070 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
391214 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
391316 !20 [ nphistory  37]	undo: ['load'] redo: []
391317 !20 [   npyshop 627]	(2643, 1714, 3)
391317 !20 [   npyshop 628]	3
391391 !20 [   npyshop 653]	ofset [0, 0]
391398 !20 [   npyshop 176]	open
391398 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
391639 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
391743 !20 [ nphistory  37]	undo: ['load'] redo: []
391743 !20 [   npyshop 627]	(2643, 1714, 3)
391743 !20 [   npyshop 628]	3
391830 !20 [   npyshop 653]	ofset [0, 0]
391838 !20 [   npyshop 176]	open
391838 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
392377 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
392483 !20 [ nphistory  37]	undo: ['load'] redo: []
392483 !20 [   npyshop 627]	(2643, 1714, 3)
392483 !20 [   npyshop 628]	3
392631 !20 [   npyshop 653]	ofset [0, 0]
392638 !20 [   npyshop 176]	open
392638 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
392999 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
393107 !20 [ nphistory  37]	undo: ['load'] redo: []
393107 !20 [   npyshop 627]	(2643, 1714, 3)
393107 !20 [   npyshop 628]	3
393208 !20 [   npyshop 653]	ofset [0, 0]
393216 !20 [   npyshop 176]	open
393216 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
393482 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
393586 !20 [ nphistory  37]	undo: ['load'] redo: []
393587 !20 [   npyshop 627]	(2643, 1714, 3)
393587 !20 [   npyshop 628]	3
393678 !20 [   npyshop 653]	ofset [0, 0]
393686 !20 [   npyshop 176]	open
393686 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
393831 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
393933 !20 [ nphistory  37]	undo: ['load'] redo: []
393933 !20 [   npyshop 627]	(2643, 1714, 3)
393933 !20 [   npyshop 628]	3
394008 !20 [   npyshop 653]	ofset [0, 0]
394015 !20 [   npyshop 176]	open
394015 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
394148 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
394252 !20 [ nphistory  37]	undo: ['load'] redo: []
394253 !20 [   npyshop 627]	(2643, 1714, 3)
394253 !20 [   npyshop 628]	3
394326 !20 [   npyshop 653]	ofset [0, 0]
395075 !20 [   npyshop 176]	open
395075 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
395392 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
395495 !20 [ nphistory  37]	undo: ['load'] redo: []
395496 !20 [   npyshop 627]	(2643, 1714, 3)
395496 !20 [   npyshop 628]	3
395636 !20 [   npyshop 653]	ofset [0, 0]
398003 !20 [   npyshop 176]	open
398003 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
398164 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
398271 !20 [ nphistory  37]	undo: ['load'] redo: []
398272 !20 [   npyshop 627]	(2643, 1714, 3)
398272 !20 [   npyshop 628]	3
398349 !20 [   npyshop 653]	ofset [0, 0]
399538 !20 [   npyshop 176]	open
399538 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
399857 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
399962 !20 [ nphistory  37]	undo: ['load'] redo: []
399963 !20 [   npyshop 627]	(2643, 1714, 3)
399963 !20 [   npyshop 628]	3
400087 !20 [   npyshop 653]	ofset [0, 0]
400419 !20 [   npyshop 176]	open
400419 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
400584 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
400692 !20 [ nphistory  37]	undo: ['load'] redo: []
400693 !20 [   npyshop 627]	(2643, 1714, 3)
400693 !20 [   npyshop 628]	3
400771 !20 [   npyshop 653]	ofset [0, 0]
401682 !20 [   npyshop 176]	open
401682 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
401999 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
402101 !20 [ nphistory  37]	undo: ['load'] redo: []
402101 !20 [   npyshop 627]	(2643, 1714, 3)
402101 !20 [   npyshop 628]	3
402226 !20 [   npyshop 653]	ofset [0, 0]
409090 !20 [   npyshop 176]	open
409091 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
409226 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
409333 !20 [ nphistory  37]	undo: ['load'] redo: []
409333 !20 [   npyshop 627]	(2643, 1714, 3)
409333 !20 [   npyshop 628]	3
409407 !20 [   npyshop 653]	ofset [0, 0]
409778 !20 [   npyshop 176]	open
409778 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
409923 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
410025 !20 [ nphistory  37]	undo: ['load'] redo: []
410026 !20 [   npyshop 627]	(2643, 1714, 3)
410026 !20 [   npyshop 628]	3
410102 !20 [   npyshop 653]	ofset [0, 0]
410109 !20 [   npyshop 176]	open
410109 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
410378 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Bi-LA.png
410480 !20 [ nphistory  37]	undo: ['load'] redo: []
410481 !20 [   npyshop 627]	(2643, 1714, 3)
410481 !20 [   npyshop 628]	3
410572 !20 [   npyshop 653]	ofset [0, 0]
410580 !20 [   npyshop 176]	open
410580 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
410932 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Br-KA.png
411035 !20 [ nphistory  37]	undo: ['load'] redo: []
411035 !20 [   npyshop 627]	(2643, 1714, 3)
411036 !20 [   npyshop 628]	3
411137 !20 [   npyshop 653]	ofset [0, 0]
411144 !20 [   npyshop 176]	open
411144 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
411686 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ca-KA.png
411790 !20 [ nphistory  37]	undo: ['load'] redo: []
411791 !20 [   npyshop 627]	(2643, 1714, 3)
411791 !20 [   npyshop 628]	3
411940 !20 [   npyshop 653]	ofset [0, 0]
411949 !20 [   npyshop 176]	open
411949 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
412185 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cd-KA.png
412292 !20 [ nphistory  37]	undo: ['load'] redo: []
412293 !20 [   npyshop 627]	(2643, 1714, 3)
412293 !20 [   npyshop 628]	3
412378 !20 [   npyshop 653]	ofset [0, 0]
412386 !20 [   npyshop 176]	open
412386 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
412529 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
412631 !20 [ nphistory  37]	undo: ['load'] redo: []
412632 !20 [   npyshop 627]	(2643, 1714, 3)
412632 !20 [   npyshop 628]	3
412705 !20 [   npyshop 653]	ofset [0, 0]
412712 !20 [   npyshop 176]	open
412712 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
412974 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
413076 !20 [ nphistory  37]	undo: ['load'] redo: []
413077 !20 [   npyshop 627]	(2643, 1714, 3)
413077 !20 [   npyshop 628]	3
413175 !20 [   npyshop 653]	ofset [0, 0]
414355 !20 [   npyshop 176]	open
414355 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
414508 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
414616 !20 [ nphistory  37]	undo: ['load'] redo: []
414617 !20 [   npyshop 627]	(2643, 1714, 3)
414617 !20 [   npyshop 628]	3
414694 !20 [   npyshop 653]	ofset [0, 0]
415251 !20 [   npyshop 176]	open
415251 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cu-KA.png
415673 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cu-KA.png
415779 !20 [ nphistory  37]	undo: ['load'] redo: []
415780 !20 [   npyshop 627]	(2643, 1714, 3)
415780 !20 [   npyshop 628]	3
415877 !20 [   npyshop 653]	ofset [0, 0]
415939 !20 [   npyshop 176]	open
415939 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
416327 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
416430 !20 [ nphistory  37]	undo: ['load'] redo: []
416430 !20 [   npyshop 627]	(2643, 1714, 3)
416430 !20 [   npyshop 628]	3
416534 !20 [   npyshop 653]	ofset [0, 0]
416787 !20 [   npyshop 176]	open
416787 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
416999 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
417102 !20 [ nphistory  37]	undo: ['load'] redo: []
417103 !20 [   npyshop 627]	(2643, 1714, 3)
417103 !20 [   npyshop 628]	3
417194 !20 [   npyshop 653]	ofset [0, 0]
417475 !20 [   npyshop 176]	open
417475 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
417868 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
417975 !20 [ nphistory  37]	undo: ['load'] redo: []
417976 !20 [   npyshop 627]	(2643, 1714, 3)
417976 !20 [   npyshop 628]	3
418079 !20 [   npyshop 653]	ofset [0, 0]
455699 !20 [   npyshop 742]	zoom in
455699 !20 [   npyshop 757]	xy 465.0 906.0 canvas c 559.0 509.5 ofset [0, -203.5]             mofset [0, -203.5] zoom 2             zoom step 1 magnif_change 1.5
455699 !20 [   npyshop 627]	(2643, 1714, 3)
455699 !20 [   npyshop 628]	2
455927 !20 [   npyshop 653]	ofset [0, -203.5]
2142560 !20 [   npyshop 176]	open
2142561 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
2142781 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
2142885 !20 [ nphistory  37]	undo: ['load'] redo: []
2142886 !20 [   npyshop 627]	(2643, 1714, 3)
2142886 !20 [   npyshop 628]	3
2142982 !20 [   npyshop 653]	ofset [0, 0]
2143457 !20 [   npyshop 176]	open
2143457 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Hg-LA.png
2143707 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Hg-LA.png
2143811 !20 [ nphistory  37]	undo: ['load'] redo: []
2143812 !20 [   npyshop 627]	(2643, 1714, 3)
2143812 !20 [   npyshop 628]	3
2143907 !20 [   npyshop 653]	ofset [0, 0]
2144960 !20 [   npyshop 176]	open
2144961 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2145220 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2145329 !20 [ nphistory  37]	undo: ['load'] redo: []
2145329 !20 [   npyshop 627]	(2643, 1714, 3)
2145329 !20 [   npyshop 628]	3
2145416 !20 [   npyshop 653]	ofset [0, 0]
2145808 !20 [   npyshop 176]	open
2145808 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2145936 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2146044 !20 [ nphistory  37]	undo: ['load'] redo: []
2146045 !20 [   npyshop 627]	(2643, 1714, 3)
2146045 !20 [   npyshop 628]	3
2146120 !20 [   npyshop 653]	ofset [0, 0]
2146576 !20 [   npyshop 176]	open
2146576 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2146842 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2146946 !20 [ nphistory  37]	undo: ['load'] redo: []
2146947 !20 [   npyshop 627]	(2643, 1714, 3)
2146947 !20 [   npyshop 628]	3
2147035 !20 [   npyshop 653]	ofset [0, 0]
2157360 !20 [   npyshop 176]	open
2157360 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2157497 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2157608 !20 [ nphistory  37]	undo: ['load'] redo: []
2157608 !20 [   npyshop 627]	(2643, 1714, 3)
2157608 !20 [   npyshop 628]	3
2157684 !20 [   npyshop 653]	ofset [0, 0]
2158080 !20 [   npyshop 176]	open
2158080 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2158346 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
2158451 !20 [ nphistory  37]	undo: ['load'] redo: []
2158452 !20 [   npyshop 627]	(2643, 1714, 3)
2158452 !20 [   npyshop 628]	3
2158540 !20 [   npyshop 653]	ofset [0, 0]
2164896 !20 [   npyshop 176]	open
2164896 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2165031 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
2165134 !20 [ nphistory  37]	undo: ['load'] redo: []
2165135 !20 [   npyshop 627]	(2643, 1714, 3)
2165135 !20 [   npyshop 628]	3
2165226 !20 [   npyshop 653]	ofset [0, 0]
2165728 !20 [   npyshop 176]	open
2165728 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mn-KA.png
2165909 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mn-KA.png
2166013 !20 [ nphistory  37]	undo: ['load'] redo: []
2166014 !20 [   npyshop 627]	(2643, 1714, 3)
2166014 !20 [   npyshop 628]	3
2166095 !20 [   npyshop 653]	ofset [0, 0]
2166624 !20 [   npyshop 176]	open
2166624 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ni-KA.png
2166748 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ni-KA.png
2166861 !20 [ nphistory  37]	undo: ['load'] redo: []
2166861 !20 [   npyshop 627]	(2643, 1714, 3)
2166861 !20 [   npyshop 628]	3
2166936 !20 [   npyshop 653]	ofset [0, 0]
2167952 !20 [   npyshop 176]	open
2167952 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
2168087 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
2168193 !20 [ nphistory  37]	undo: ['load'] redo: []
2168193 !20 [   npyshop 627]	(2643, 1714, 3)
2168193 !20 [   npyshop 628]	3
2168282 !20 [   npyshop 653]	ofset [0, 0]
2168944 !20 [   npyshop 176]	open
2168944 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
2169608 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
2169717 !20 [ nphistory  37]	undo: ['load'] redo: []
2169718 !20 [   npyshop 627]	(2643, 1714, 3)
2169718 !20 [   npyshop 628]	3
2169850 !20 [   npyshop 653]	ofset [0, 0]
2169856 !20 [   npyshop 176]	open
2169857 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LB.png
2170380 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LB.png
2170494 !20 [ nphistory  37]	undo: ['load'] redo: []
2170494 !20 [   npyshop 627]	(2643, 1714, 3)
2170494 !20 [   npyshop 628]	3
2170656 !20 [   npyshop 653]	ofset [0, 0]
2170664 !20 [   npyshop 176]	open
2170664 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Rh-KA.png
2170997 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Rh-KA.png
2171106 !20 [ nphistory  37]	undo: ['load'] redo: []
2171106 !20 [   npyshop 627]	(2643, 1714, 3)
2171107 !20 [   npyshop 628]	3
2171236 !20 [   npyshop 653]	ofset [0, 0]
2171616 !20 [   npyshop 176]	open
2171616 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_S-KA.png
2171888 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_S-KA.png
2171992 !20 [ nphistory  37]	undo: ['load'] redo: []
2171993 !20 [   npyshop 627]	(2643, 1714, 3)
2171993 !20 [   npyshop 628]	3
